Qty;Value;Device;Parts
13;LEDCHIPLED_0805;LEDCHIPLED_0805;BIPOUT+, BIPOUT-, LED+2.5, LED-2.5, LEDOUT,PC0, PC1, PC2, PC3, URXL1, URXL2, UTXL1, UTXL2
7;100n;C-EUC0603K;C15, C16, C17, C20, C22, C23, C29
3;10K;R-EU_R0603;R2, R51, R52
32;10k;R-EU_R0603;R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40
1;10nF;C-EUC0603;C10
2;12.5p;C-EUC0603K;C27, C28
13;180R;R-EU_R0603;R4, R5, R6, R7, R8, R41, R42, R43, R44, R47, R48, R49, R50
2;18p;C-EUC0603K;C25, C26
1;1M;R-EU_R0603;R1
10;1uF;C-EUC0603;C1, C2, C3, C4, C5, C6, C7, C8, C9, C14
4;2.2 u;C-EUC0603K;C18, C19, C21, C24
2;2uF;C-EUC0603;C11, C12
1;2uF;C-EUC0603K;C13
1;4.7K;R-EU_R0603;R3
1;74HC595D;74HC595D;IC5
1;9HT10-32.768KDZF-T;9HT10-32.768KDZF-T;X2
1;ABM3B-16.000MHZ-B2-T;ABM3B-16.000MHZ-B2-T;X1
1;AD5231;AD5231;ICPOW
8;AD5270MSOP10;AD5270MSOP10;ICA, ICB, ICC, ICD, ICE, ICF, ICG, ICH
2;AD8684RU;AD8684RU;IC1, IC2
2;ADA4692-2R;ADA4692-2R;IC3, IC4
1;ADG621;ADG621;ICSW
1;B3U-1000P;B3U-1000P;SW1
1;STM32F405RGT6;STM32F405RG;U$1
1;TLV703;TLV703;U2
1;TPS72301DBVRSOT-23-5;TPS72301DBVRSOT-23-5;U1
